fname,cycle,sound event,"sample number (sampling rate = 44,100 Hz",time (s),
set_a/normal__201102081321.wav,1,S1,10021.00,0.22723356,
set_a/normal__201102081321.wav,1,S2,20759.00,0.470725624,
set_a/normal__201102081321.wav,2,S1,35075.00,0.795351474,
set_a/normal__201102081321.wav,2,S2,47244.00,1.071292517,
set_a/normal__201102081321.wav,3,S1,62992.00,1.428390023,
set_a/normal__201102081321.wav,3,S2,73729.00,1.67185941,
set_a/normal__201102081321.wav,4,S1,88761.00,2.012721088,
set_a/normal__201102081321.wav,4,S2,101646.00,2.304897959,
set_a/normal__201102081321.wav,5,S1,115246.00,2.613287982,
set_a/normal__201102081321.wav,5,S2,127415.00,2.889229025,
set_a/normal__201102081321.wav,6,S1,143163.00,3.246326531,
set_a/normal__201102081321.wav,6,S2,153900.00,3.489795918,
set_a/normal__201102081321.wav,7,S1,168216.00,3.814421769,
set_a/normal__201102081321.wav,7,S2,180385.00,4.090362812,
set_a/normal__201102081321.wav,8,S1,195417.00,4.43122449,
set_a/normal__201102081321.wav,8,S2,206155.00,4.674716553,
set_a/normal__201102081321.wav,9,S1,220471.00,4.999342404,
set_a/normal__201102081321.wav,9,S2,231924.00,5.259047619,
set_a/normal__201102081321.wav,10,S1,272010.00,6.168027211,
set_a/normal__201102081321.wav,10,S2,283463.00,6.427732426,
set_a/normal__201102081321.wav,11,S1,297779.00,6.752358277,
set_a/normal__201102081321.wav,11,S2,309232.00,7.012063492,
set_a/normal__201102081321.wav,12,S1,324264.00,7.35292517,
set_a/normal__201102081321.wav,12,S2,335001.00,7.596394558,
set_a/normal__201102260502.wav,1,S1,11526.00,0.261360544,
set_a/normal__201102260502.wav,1,S2,27941.00,0.633582766,
set_a/normal__201102260502.wav,2,S1,42197.00,0.956848073,
set_a/normal__201102260502.wav,2,S2,58163.00,1.318888889,
set_a/normal__201102260502.wav,3,S1,71278.00,1.616281179,
set_a/normal__201102260502.wav,3,S2,88955.00,2.017120181,
set_a/normal__201102260502.wav,4,S1,102641.00,2.327460317,
set_a/normal__201102260502.wav,4,S2,122028.00,2.76707483,
set_a/normal__201102260502.wav,5,S1,134573.00,3.05154195,
set_a/normal__201102260502.wav,5,S2,152821.00,3.465328798,
set_a/normal__201102260502.wav,6,S1,184753.00,4.189410431,
set_a/normal__201102260502.wav,6,S2,197869.00,4.486825397,
set_a/normal__201102260502.wav,7,S1,216686.00,4.913514739,
set_a/normal__201102260502.wav,7,S2,230942.00,5.236780045,
set_a/normal__201102260502.wav,8,S1,251211.00,5.696394558,
set_a/normal__201102260502.wav,8,S2,265168.00,6.012879819,
set_a/normal__201103090635.wav,1,S1,5366.00,0.121678005,
set_a/normal__201103090635.wav,1,S2,17632.00,0.399818594,
set_a/normal__201103090635.wav,2,S1,31432.00,0.712743764,
set_a/normal__201103090635.wav,2,S2,44464.00,1.008253968,
set_a/normal__201103090635.wav,3,S1,59030.00,1.338548753,
set_a/normal__201103090635.wav,3,S2,71296.00,1.616689342,
set_a/normal__201103090635.wav,4,S1,86629.00,1.964376417,
set_a/normal__201103090635.wav,4,S2,99661.00,2.259886621,
set_a/normal__201103090635.wav,5,S1,116527.00,2.642335601,
set_a/normal__201103090635.wav,5,S2,128793.00,2.92047619,
set_a/normal__201103090635.wav,6,S1,144125.00,3.26814059,
set_a/normal__201103090635.wav,6,S2,156391.00,3.546281179,
set_a/normal__201103090635.wav,7,S1,174024.00,3.946122449,
set_a/normal__201103090635.wav,7,S2,185523.00,4.206870748,
set_a/normal__201103090635.wav,8,S1,200856.00,4.554557823,
set_a/normal__201103090635.wav,8,S2,213122.00,4.832698413,
set_a/normal__201103090635.wav,9,S1,226154.00,5.128208617,
set_a/normal__201103090635.wav,9,S2,239187.00,5.423741497,
set_a/normal__201103090635.wav,10,S1,252220.00,5.719274376,
set_a/normal__201103090635.wav,10,S2,265252.00,6.01478458,
set_a/normal__201103090635.wav,11,S1,277518.00,6.29292517,
set_a/normal__201103090635.wav,11,S2,290551.00,6.58845805,
set_a/normal__201103090635.wav,12,S1,303583.00,6.883968254,
set_a/normal__201103090635.wav,12,S2,315849.00,7.162108844,
set_a/normal__201103090635.wav,13,S1,329649.00,7.475034014,
set_a/normal__201103090635.wav,13,S2,342681.00,7.770544218,
set_a/normal__201103140132.wav,1,S1,16358.00,0.370929705,
set_a/normal__201103140132.wav,1,S2,29272.00,0.663764172,
set_a/normal__201103140132.wav,2,S1,89539.00,2.030362812,
set_a/normal__201103140132.wav,2,S2,105036.00,2.381768707,
set_a/normal__201103140132.wav,3,S1,128282.00,2.908888889,
set_a/normal__201103140132.wav,3,S2,142057.00,3.221247166,
set_a/normal__201103140132.wav,4,S1,170469.00,3.865510204,
set_a/normal__201103140132.wav,4,S2,183383.00,4.158344671,
set_a/normal__201103140132.wav,5,S1,207490.00,4.704988662,
set_a/normal__201103140132.wav,5,S2,221265.00,5.017346939,
set_a/normal__201103140132.wav,6,S1,242789.00,5.505419501,
set_a/normal__201103140132.wav,6,S2,256564.00,5.817777778,
set_a/normal__201103140132.wav,7,S1,279810.00,6.344897959,
set_a/normal__201103140132.wav,7,S2,292725.00,6.637755102,
set_a/normal__201103140132.wav,8,S1,320275.00,7.262471655,
set_a/normal__201103140132.wav,8,S2,334911.00,7.594353741,
set_a/normal__201103140132.wav,9,S1,363323.00,8.23861678,
set_a/normal__201103140132.wav,9,S2,377098.00,8.550975057,
set_a/normal__201103140822.wav,1,S1,3444.00,0.078095238,
set_a/normal__201103140822.wav,1,S2,18080.00,0.409977324,
set_a/normal__201103140822.wav,2,S1,44770.00,1.015192744,
set_a/normal__201103140822.wav,2,S2,58545.00,1.32755102,
set_a/normal__201103140822.wav,3,S1,84374.00,1.91324263,
set_a/normal__201103140822.wav,3,S2,98149.00,2.225600907,
set_a/normal__201103140822.wav,4,S1,123977.00,2.811269841,
set_a/normal__201103140822.wav,4,S2,134309.00,3.045555556,
set_a/normal__201103140822.wav,5,S1,157555.00,3.572675737,
set_a/normal__201103140822.wav,5,S2,175635.00,3.982653061,
set_a/normal__201103140822.wav,6,S1,195437.00,4.431678005,
set_a/normal__201103140822.wav,6,S2,214378.00,4.861179138,
set_a/normal__201103151912.wav,1,S1,3244.00,0.073560091,
set_a/normal__201103151912.wav,1,S2,12053.00,0.273310658,
set_a/normal__201103151912.wav,2,S1,25829.00,0.58569161,
set_a/normal__201103151912.wav,2,S2,61128.00,1.386122449,
set_a/normal__201103151912.wav,3,S1,79208.00,1.796099773,
set_a/normal__201103151912.wav,3,S2,96427.00,2.186553288,
set_a/normal__201103151912.wav,4,S1,117090.00,2.655102041,
set_a/normal__201103151912.wav,4,S2,133448.00,3.026031746,
set_a/normal__201103151912.wav,5,S1,152389.00,3.45553288,
set_a/normal__201103151912.wav,5,S2,167886.00,3.806938776,
set_a/normal__201103151912.wav,6,S1,202324.00,4.587845805,
set_a/normal__201103151912.wav,6,S2,222987.00,5.056394558,
set_a/normal__201103221214.wav,1,S1,27831.00,0.631088435,
set_a/normal__201103221214.wav,1,S2,39095.00,0.886507937,
set_a/normal__201103221214.wav,2,S1,54667.00,1.239614512,
set_a/normal__201103221214.wav,2,S2,65601.00,1.48755102,
set_a/normal__201103221214.wav,3,S1,81173.00,1.840657596,
set_a/normal__201103221214.wav,3,S2,92769.00,2.103605442,
set_a/normal__201103221214.wav,4,S1,108341.00,2.456712018,
set_a/normal__201103221214.wav,4,S2,119605.00,2.712131519,
set_a/normal__201103221214.wav,5,S1,135509.00,3.07276644,
set_a/normal__201103221214.wav,5,S2,146442.00,3.320680272,
set_a/normal__201104141251.wav,1,S1,21189.00,0.48047619,
set_a/normal__201104141251.wav,1,S2,32879.00,0.745555556,
set_a/normal__201104141251.wav,2,S1,51876.00,1.176326531,
set_a/normal__201104141251.wav,2,S2,64297.00,1.457981859,
set_a/normal__201104141251.wav,3,S1,83294.00,1.888752834,
set_a/normal__201104141251.wav,3,S2,96446.00,2.186984127,
set_a/normal__201104141251.wav,4,S1,116904.00,2.650884354,
set_a/normal__201104141251.wav,4,S2,129326.00,2.932562358,
set_a/normal__201104141251.wav,5,S1,149053.00,3.379886621,
set_a/normal__201104141251.wav,5,S2,162205.00,3.678117914,
set_a/normal__201104141251.wav,6,S1,180471.00,4.092312925,
set_a/normal__201104141251.wav,6,S2,192623.00,4.367868481,
set_a/normal__201104141251.wav,7,S1,211889.00,4.804739229,
set_a/normal__201104141251.wav,7,S2,225041.00,5.102970522,
set_a/normal__201104141251.wav,8,S1,245499.00,5.566870748,
set_a/normal__201104141251.wav,8,S2,257920.00,5.848526077,
set_a/normal__201104141251.wav,9,S1,279109.00,6.329002268,
set_a/normal__201104141251.wav,9,S2,290800.00,6.594104308,
set_a/normal__201105011626.wav,1,S1,2855.00,0.064739229,
