filepath,zcr,rms,centroid,bandwidth,rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
c:\Users\vivek\OneDrive\Documents\Data\normal\201101070538.wav,0.18155138299608356,0.004102082,5705.173733927075,5991.055851654683,12808.235953308584,-517.85095,78.000626,6.724427,20.219566,12.611445,10.331914,9.041118,5.9323034,4.9546447,3.5393074,1.7340084,1.6976204,-0.2738883,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201101151127.wav,0.008377547116623712,0.0721006,1457.4982416022403,3446.152993702686,2631.296374134182,-399.89368,103.69925,13.686877,30.54401,34.486885,22.256563,22.552654,19.073563,14.510034,14.292038,13.480966,16.522688,14.222857,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102081152.wav,0.10260802429991883,0.0071495664,3714.7031574776342,5059.911067338855,9044.539572975853,-411.21912,123.23993,13.402808,22.533443,-4.545311,13.262003,5.5122814,7.3974886,8.976462,-2.842521,11.16048,4.3061585,7.1386275,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102081321.wav,0.043660242417279414,0.011672025,2675.956226458617,4385.221851000562,5537.611514820772,-380.94397,145.17091,0.9727643,12.781049,1.942753,12.974989,14.231959,4.44404,4.8499765,1.5621415,6.592687,4.1761336,0.9354063,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102201230.wav,0.22838600394652062,0.0020620786,6351.989253967518,6156.645818478797,13917.6639517558,-567.4604,68.22499,2.7092695,14.316681,7.836335,8.336783,4.343187,5.546527,6.2126846,1.0630718,3.1065037,-0.68834484,0.9736015,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102260502.wav,0.17980911986854242,0.0043815235,3918.417010920724,5969.535154983764,10045.358445283671,-596.28906,120.040535,28.134289,28.43375,34.78845,7.191467,24.777647,-1.2345337,15.882699,-1.6929156,8.037136,-1.7958957,2.0674496,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201102270940.wav,0.17188884302512886,0.0022936861,5322.395485185081,6036.5287083836065,11708.901191003544,-520.629,91.86778,-11.729457,11.019314,5.681396,-4.2001867,1.9758235,-8.836825,-0.9783904,-7.7256703,-1.9742504,-5.6831307,-1.7964191,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103090635.wav,0.1799673254341534,0.0064849523,5133.632980198358,5637.296415178776,11209.824063291426,-536.251,82.71861,4.775408,24.483425,11.78008,11.939452,10.269104,6.2041354,8.454742,2.1362123,7.135506,0.9013997,4.6208916,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103101140.wav,0.1433250191285438,0.039066173,3300.1513247773105,4601.8463746079315,7410.085776417526,-484.49448,27.7873,25.502222,22.996243,20.630323,18.439594,16.330456,14.38339,12.705113,11.291031,10.058508,8.988549,8.110343,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103140132.wav,0.29183047579735827,0.0025234441,5965.412321719154,6565.794366690071,14586.192211662372,-616.4261,81.087204,12.327299,7.8412294,13.82815,1.8035902,9.369999,4.881464,4.9216065,2.1068172,2.7679267,-2.6439188,-0.15721485,normal
c:\Users\vivek\OneDrive\Documents\Data\normal\201103140135.wav,0.2683907390510949,0.0034550608,5182.254918589369,6486.20040151729,13111.268747148722,-576.4376,96.39936,28.279396,3.310541,8.912554,6.452471,8.368431,5.7060385,3.158512,-1.251814,-0.10609466,-2.8890674,-0.71479726,normal
