filepath,zcr,rms,centroid,bandwidth,rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,stft_mean,stft_std,stft_max,cwt_mean,cwt_std,cwt_max,label
c:\Users\vivek\OneDrive\Documents\Data\artifact\201012172012.wav,0.343822990496134,0.0022534826,7681.671094009569,6581.501086613283,16392.372870691044,-599.93896,33.781063,7.35434,4.5494447,2.182476,2.7137215,0.70974946,-0.5813916,-1.2105308,-2.7702992,-1.950883,-1.373695,-1.6228255,0.015268514,0.39491236,71.12979,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201105040918.wav,0.49051312318782214,0.00043257646,11642.449239227044,5302.822596060987,17942.92998952964,-752.226,23.831118,8.511934,-12.289284,6.5903616,-13.384438,8.085058,-10.728707,8.7330475,-9.553117,3.778762,-4.3865833,-2.2409499,0.005854135,0.022530813,2.2363317,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201105041959.wav,0.3023134211903995,0.008616939,7189.122283972413,6050.918940840964,14886.685841353898,-335.93777,56.311474,-21.24887,5.088444,-13.107551,-3.1932158,-3.2701252,-9.35387,3.2369184,-8.663793,1.977935,-5.955885,-1.5883707,0.14983025,0.34338567,12.718396,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201105051017.wav,0.059974906370811855,0.013994994,3048.7584930018265,3853.3812285216263,5933.091185264981,-349.67032,141.82634,-21.67626,23.579344,-2.8942919,-3.9263988,-8.095813,-8.885119,-7.692841,-5.4134545,-5.656429,-9.26078,-6.8140674,0.13833067,0.47717565,35.435337,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201105060108.wav,0.1011767829816366,0.018061012,4345.709129555852,5502.142149332584,9479.160206588273,-333.93628,115.90495,-7.5759363,5.6850233,1.2802494,-1.1377604,2.2690852,-7.837834,-2.7766037,-10.6930485,-0.80935055,-7.1483,-5.4792757,0.18982032,1.044863,131.74593,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201105061143.wav,0.449108635027384,0.00305789,10617.043206122693,3643.8771307820452,13406.111632671553,-663.847,61.225536,-12.138401,0.26903918,13.898401,-2.9214382,10.636975,-7.4947553,8.742086,-4.442777,1.6459482,-3.0216682,0.27921033,0.027353074,0.12196764,5.7485995,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201105190800.wav,0.2911024585212629,0.0024197532,7670.284261407822,5079.137587129458,12866.643846649484,-550.84863,76.67314,-18.12901,-3.5156248,2.0757782,-4.2205057,0.49889752,-10.134676,-1.2702379,-6.5712876,-1.8987484,-7.184479,-3.3724303,0.02780205,0.116857946,8.485787,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201105280851.wav,0.04761056801707474,0.084560096,2668.314886526894,4006.1675342662434,5261.066554747906,-314.70877,135.02689,4.2742066,22.19784,19.62551,-4.50592,4.759127,10.092164,-1.1188071,-3.8490887,3.4676862,-0.6434944,-3.9027867,0.99148846,4.716964,153.39342,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201106010559.wav,0.14647367811694587,0.007768491,4324.5127434058595,4806.1315831740485,9212.770064835697,-415.76508,109.85796,-14.222799,22.102592,-9.090873,-4.0479665,-1.9688586,-11.110387,-8.194063,-5.710914,-11.84892,-5.4364552,-8.028238,0.102460496,0.34306708,28.902046,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201106010602.wav,0.16017449762403352,0.35939544,5739.529869495761,5118.314357153793,11364.924920465528,54.625393,70.46708,-39.607178,13.036337,-4.0314426,-1.2816713,-3.797813,-2.390303,-3.181632,-2.4164717,-5.3581815,-1.9486263,-1.3403102,6.4998713,8.259118,134.1922,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201106021541.wav,0.38302203306217786,0.0054809246,9355.548928477538,4341.255225857409,13188.587432546714,-529.2338,69.03614,-4.0582824,3.5698512,-12.195782,-3.2409518,-0.3984037,2.9533098,-0.06530927,-3.8783371,-8.585594,-1.6976305,-2.9921165,0.04758225,0.3014893,48.072052,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201106030612.wav,0.47566207413820877,0.016886365,11134.586897887057,3622.2183464275754,14082.881337588595,-514.40393,79.78337,8.148887,-6.147036,-2.5813658,0.9221511,0.3566307,-0.9375194,-0.35954466,-2.9636526,-2.4010205,-3.2234635,-1.5364636,0.101581626,0.9666949,83.98693,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201106031558.wav,0.17161324097938144,0.011028671,5082.435089413271,4767.361489797638,8978.568731878222,-478.84207,105.370964,23.050676,9.087469,12.878009,5.990026,3.145074,1.4739444,1.2083942,-3.322545,-4.991928,-5.1515036,-4.213447,0.067299746,0.61899936,82.073524,,,,artifact
c:\Users\vivek\OneDrive\Documents\Data\artifact\201106040722.wav,0.05179745389014175,0.55764335,1504.9036426557889,1422.062658313504,1924.7520210816688,-300.6489,129.12288,13.625093,-29.505064,-31.183315,-7.977075,26.844433,47.62892,42.47603,14.798037,-21.371965,-38.166855,-21.443872,1.2645793,15.473791,451.3821,,,,artifact
